"Barbosa","Bello","Caldas","Copacabana","Envigado","Girardota","La Estrella","Sabaneta","Itagüí","Medellín","Area metropolitana","DATUM"
"23345","70349","12245","32332","69414","25612","15074","24058","40219","444438",757086,2017-01-01
"22718","69608","10969","31917","66883","22775","14468","23432","39781","418901",721452,2017-01-02
"21630","67344","13336","28450","65977","24086","13366","24083","36751","421708",716731,2017-01-03
"21825","63869","12777","30186","69568","21748","15210","24120","40230","441680",741213,2017-01-04
"22666.5","67429.5","12714","31237","69560","23684.5","15213.5","24120","40230","442695",749550,2017-01-05
"23508","70990","12651","32288","69552","25621","15217","24120","40230","443710",757887,2017-01-06
"22917","70919","12651","32182","69552","25672","15217","24120","40230","442881",756341,2017-01-07
"23481","70988","12651","32275","69552","25637","15217","24120","40230","443666",757817,2017-01-08
"23500","69364","12778","31369","69425","24773","15217","24164","40230","443572",754392,2017-01-09
"23481","70988","12651","32275","69552","25637","15217","24120","40230","443666",757817,2017-01-10
"21844","70988","12811","32330","59611","25653","15115","18088","40013","442966",739419,2017-01-11
"23481","69488","12664","32275","69552","25637","15217","24120","40230","443156",755820,2017-01-12
"23481","70996","12651","32275","70246","25637","15217","24120","40230","441929",756782,2017-01-13
"23481","70677","12651","32275","69552","25637","15467","24120","39716","441389",754965,2017-01-14
"23481","70988","12651","31405","69552","25637","15217","24120","40230","443666",756947,2017-01-15
"23402","68075","11585","31059","67538","23996","14085","22611","39363","430995",732709,2017-01-16
"23505","70469","12453","31678","68487","25637","11979","21116","37376","389730",692430,2017-01-17
"23387","61230","12240","32216","69504","25637","14328","21603","36825","421483",718453,2017-01-18
"22913","66603","12237","32146","69469","22275","15300","24104","40230","414493",719770,2017-01-19
"23237","71050","12388","32275","68544","25637","15227","24122","40230","441746",754456,2017-01-20
"23804","70988","12347","32275","69552","25637","15217","24120","40230","443666",757836,2017-01-21
"24329","62693","11191","26504","61904","20857","13688","23929","38265","411557",694917,2017-01-22
"23158","63263","12819","31006","67597","24406","13869","22537","38296","398470",695421,2017-01-23
"23940","66750","13727","32858","71261","24383","14299","21884","38708","411337",719147,2017-01-24
"27792","67015","12340","31207","70114","23682","15155","24276","40244","437431",749256,2017-01-25
"24803","65896","12691","29053","65134","22706","15197","22981","35486","416963",710910,2017-01-26
"25400","66275","12787","28889","69678","25315","15127","24265","40243","424910",732889,2017-01-27
"25479","66474","12756","32100","69284","25399","15148","24207","38132","421830",730809,2017-01-28
"25469","70278","12678","32503","70068","24316","15148","24265","40243","440621",755589,2017-01-29
"24423","70105","9810","32414","67199","25399","13207","17382","36495","441903",738337,2017-01-30
"23176","68929","13867","29641","64502","20799","14731","21614","39110","384009",680378,2017-01-31
"22466","70181","12915","32104","70187","25082","15559","24156","40616","437915",751181,2017-02-01
"19943","64583","12811","30194","58537","24383","14089","23696","39273","397150",684659,2017-02-02
"23926","69896","13096","27572","69394","22655","15558","24156","40616","416210",723079,2017-02-03
"26176","70371","12957","31339","70189","20678","15558","24156","40616","440177",752217,2017-02-04
"25125","70243","12957","32106","70189","25122","15558","24156","40616","437764",753836,2017-02-05
"24377","69058","12977","27147","65306","22826","13899","23608","35378","394707",689283,2017-02-06
"25254","68557","13066","31722","66655","21782","12097","23047","37271","415701",715152,2017-02-07
"23825","62376","12759","30144","61415","21470","13162","20046","34375","394763",674335,2017-02-08
"23856","64440","12957","29816","70188","22336","15429","24156","39710","431484",734372,2017-02-09
"21968","65391","12648","29666","67079","22994","14803","19351","36308","412465",702673,2017-02-10
"25511","70309","12957","31330","70313","25162","15558","24156","40616","438013",753925,2017-02-11
"25254","67321","12957","31928","70188","26014","15558","24156","40163","435873",749412,2017-02-12
"22567","66533","13170","29966","67091","23190","14922","22407","37086","410895",707827,2017-02-13
"23862","67782","13373","29958","71175","24802","15117","22754","42558","422412",733793,2017-02-14
"24361","67677","13836","28029","64592","25512","16533","21403","40812","424023",726778,2017-02-15
"25231","68232","13455","32328","70358","24239","15617","24156","40698","437745",752059,2017-02-16
"23406","62965","12671","27958","65282","22190","15556","22084","38214","415739",706065,2017-02-17
"25254","70243","12084","32069","70188","25121","15530","24156","40616","437926",753187,2017-02-18
"25272","65645","13258","29124","65972","23713","13266","20239","40756","432712",729957,2017-02-19
"25254","70243","13235","32106","53664","25122","12740","20581","33611","432347",718903,2017-02-20
"23887","64603","12203","32106","66571","24905","14043","23141","40284","434595",736338,2017-02-21
"24422","59805","12546","28721","57358","23012","12413","16590","32297","360109",627273,2017-02-22
"24733","70255","13022","32067","66617","24754","14781","23142","40284","437453",747108,2017-02-23
"24733","70255","13022","32067","66617","24754","14781","23142","40284","437453",747108,2017-02-24
"24733","70255","13022","32067","66617","24754","14781","23142","40284","437453",747108,2017-02-25
"25618","69213","13568","32812","68150","24754","14253","21678","37939","425829",733814,2017-02-26
"24780","71054","13099","32070","66734","24754","14781","23142","40284","439189",749887,2017-02-27
"24780","71054","12691","32070","66546","24754","14546","23142","38952","436511",745046,2017-02-28
"24155","69394","13101","31322","66734","24845","14785","23142","40284","439217",746979,2017-03-01
"22854","69019","13234","28715","57752","22297","12419","18006","34281","409084",687661,2017-03-02
"25051","71483","13350","32078","66737","23991","14863","23142","40284","433509",744488,2017-03-03
"25039","71385","12382","32078","66704","24943","14687","23116","38285","432083",740702,2017-03-04
"24924","71270","13284","32078","66737","24787","14864","23142","40284","439203",750573,2017-03-05
"24924","71270","13284","32078","66737","24787","14864","23142","40284","439203",750573,2017-03-06
"24924","71270","13284","32078","66737","24787","14864","23142","40284","439203",750573,2017-03-07
"24924","71270","13284","32078","66737","24787","14864","23142","40284","439203",750573,2017-03-08
