"SANTA.FE","BARRIOS.UNIDOS","FONTIBON","ENGATIVA","CANDELARIA","CHAPINERO","CIUDAD.BOLIVAR","SUBA","RAFAEL.URIBE.URIBE","KENNEDY","USME","LOS.MARTIRES","ANTONIO.NARIÃ.O","TEUSAQUILLO","SUMAPAZ","SAN.CRISTOBAL","USAQUEN","TUNJUELITO","BOSA","PUENTE.ARANDA","Bogotá","DATUM"
40372,39925,73360,99814,10063,53741,72622,160416,39034,132378,56480,27298,18177,55629,3493,50905,121744,32609,56782,69499,1214341,2017-01-01
43184,43792,93882,107193,10318,63394,71876,172089,37104,135615,53558,26823,15432,61584,4157,52729,126334,31932,57193,69793,1277982,2017-01-02
44797,46855,99369,115724,11537,62836,74698,185863,43914,147966,60854,29156,19598,56895,5479,56698,137972,33487,69682,76047,1379427,2017-01-03
44102,43947,93885,107719,10357,63844,74608,173450,41565,139450,60303,28144,18338,61529,3737,55148,128574,32789,60511,71495,1313495,2017-01-04
44122.5,43750.5,89095,107058.5,10357,63847,74537,172873,41544.5,136225.5,60401,28144,18074.5,61182.5,3903.5,55158.5,127850.5,31849.5,60726.5,69654.5,1300355.5,2017-01-05
44143,43554,84305,106398,10357,63850,74466,172296,41524,133001,60499,28144,17811,60836,4070,55169,127127,30910,60942,67814,1287216,2017-01-06
42919,35041,91576,103678,10357,53446,57891,161726,16884,105718,59643,20861,9095,61529,4032,53846,112203,12518,52545,42734,1108242,2017-01-07
44091,43538,93745,107517,10357,63350,73586,172870,32968,136661,60543,26749,17903,61529,3868,55106,127822,30956,60155,68564,1291878,2017-01-08
33827,42631,93358,103776,8424,58007,73098,154723,31961,136687,60135,23474,15268,57705,3896,55106,122310,30956,60117,64652,1230111,2017-01-09
44091,43538,93745,107517,10357,63350,73276,172906,32968,136687,59982,26749,17903,61529,3866,55144,127822,30956,60117,68564,1291067,2017-01-10
44091,43538,93745,107517,10357,63350,73276,172590,32968,136687,60135,26749,17903,61529,3866,55106,126379,30956,60117,68564,1289423,2017-01-11
44091,43538,93745,107517,10357,63350,73278,170575,32968,136687,59615,26749,17903,61529,3554,55027,125381,30956,60117,68564,1285501,2017-01-12
44091,43538,93745,107517,10357,63350,73276,172870,32968,136687,60135,26749,17903,61529,3870,55106,127822,30956,60117,68564,1291150,2017-01-13
44091,43538,93745,107517,10357,63350,73287,172470,32968,136687,60185,26749,17903,61529,4139,55106,126596,30956,60117,68564,1289854,2017-01-14
43095,43538,105613,99196,10357,61356,73377,166977,34900,137903,56836,22791,17540,55823,4187,55078,127822,31018,59293,64730,1271430,2017-01-15
34483,43538,93745,105869,6011,63350,73276,143146,32345,129517,60176,12196,12216,60265,3970,52773,109212,30956,53963,57019,1178026,2017-01-16
44091,43538,93745,107517,10357,63350,73243,166458,33218,136687,56725,26749,17903,61529,4785,54427,121504,28688,60117,68198,1272829,2017-01-17
44091,43538,93745,107517,10357,61225,73276,169574,32968,136687,60135,26749,17903,61529,4094,55106,125976,30956,60117,68564,1284107,2017-01-18
44091,43538,93736,107517,10357,63350,73276,172870,32968,134155,60135,26749,17903,61529,3866,55106,127822,30956,58639,68200,1286763,2017-01-19
44091,43538,93745,107517,10357,63350,73276,172870,32968,136687,60135,26749,17903,61529,3882,55106,127822,30956,60117,68564,1291162,2017-01-20
41901,47270,102205,110574,8381,63791,78389,176753,42383,144816,55371,26268,18217,55894,5341,54204,125816,32871,68240,69224,1327909,2017-01-21
43216,43852,87100,107988,9696,65033,74497,168872,34075,133848,59448,26412,18318,53655,4018,55430,120206,30956,60674,66444,1263738,2017-01-22
40712,41214,89222,107487,9871,59822,70215,161167,41011,141066,53434,27953,17911,51302,7158,49036,117156,29867,61640,70504,1247748,2017-01-23
38335,43636,93143,109115,5993,60292,72198,169456,42458,143882,58950,28166,17344,56677,5467,54087,125596,32976,66354,72292,1296417,2017-01-24
37636,43392,93962,107260,8372,63046,62958,171971,36805,120360,49524,25379,14866,59826,3853,51745,126003,26808,54464,62369,1220599,2017-01-25
26988,43392,93511,107260,2694,64431,72628,171573,40195,133727,60115,17797,13707,59029,3884,52758,106481,31579,60113,58715,1220577,2017-01-26
43133,43073,86351,99525,9189,63491,72080,161951,40582,132646,60069,27719,17851,60749,3820,54367,118582,31579,59985,69312,1256054,2017-01-27
43133,43392,93962,107260,9189,63491,72627,171872,40582,136729,60069,27719,17851,60749,3820,54367,124743,31579,60113,69326,1292573,2017-01-28
42807,42848,86162,105699,9496,61038,71786,165083,41197,138894,59573,28010,18485,54812,4115,52804,123371,30553,61632,69328,1267693,2017-01-29
39825,40329,86047,100363,8469,59169,69852,168174,39552,118550,59079,23348,14624,50477,4616,53947,125978,31384,55352,56557,1205692,2017-01-30
43133,43392,77832,95592,9189,63507,72419,162658,34417,100036,55567,27719,17903,60248,4512,54367,126240,27354,60172,61310,1197567,2017-01-31
43133,43628,87335,101966,9189,63507,72183,163441,39654,133249,60240,27719,16436,56867,4076,54367,122505,28736,59689,64615,1252535,2017-02-01
36475,40066,89767,106295,10210,59519,67096,172117,39760,122473,51104,26273,16673,51347,3666,49219,118029,28915,60085,64543,1213632,2017-02-02
39398,42075,84565,103360,10088,60425,70321,160513,40876,135523,56505,26433,17388,53724,5622,52891,117726,31935,62642,67958,1239968,2017-02-03
45842,47327,104194,111112,10499,71571,77068,180480,44908,146754,61678,29127,19656,59048,4641,57816,138868,34820,64351,75551,1385311,2017-02-04
43156,43490,123790,119055,9610,64079,83623,187187,42890,164109,60381,27663,17991,60847,6205,54768,128310,39766,70553,79741,1427214,2017-02-05
40745,46154,99502,109813,10607,59004,83053,169385,44482,146265,60308,27509,18745,55033,8624,52847,121506,34211,65257,72379,1325429,2017-02-06
40446,42436,101326,107183,10022,60794,72419,164376,42399,138685,57672,26893,18120,58992,4042,51948,122027,31210,62428,68852,1282270,2017-02-07
39141,38053,86434,99273,9420,59451,71188,160766,39128,138495,54490,26238,17435,51862,2443,49024,117850,30143,62935,66400,1220169,2017-02-08
42120,43870,96527,107190,10022,61426,74507,166305,42255,138881,58652,27696,18052,60272,3268,54047,123756,31983,61955,70426,1293210,2017-02-09
32992,43870,101630,108629,8006,63270,62416,175327,24032,113300,59605,10802,8055,55453,5287,52487,127290,19870,52997,48012,1173330,2017-02-10
38822,43870,101630,108629,8889,63270,64598,175327,32492,120771,59061,20983,12684,56941,5073,53775,127290,23572,56627,57297,1231601,2017-02-11
42147,43870,101630,108629,10022,63270,74616,175327,42255,139486,59384,27696,18052,60272,5295,54006,127290,31983,62147,70426,1317803,2017-02-12
38586,43870,96058,102977,8280,63276,67303,162085,38765,131503,56634,24920,16189,58282,4696,50003,123168,28674,60093,67179,1242541,2017-02-13
