"Cali","Candelaria","Palmira","Yumbo","Jamundí","Area metropolitana","DATUM"
"527552","52293","179945","81294","51035",892119,2017-01-01
"516697","66418","205485","75561","51724",915885,2017-01-02
"542244","62362","194292","84114","49390",932402,2017-01-03
"538686","67027","208764","92031","51605",958113,2017-01-04
"537930.5","66769.5","207289","89812","51605",953406,2017-01-05
"537175","66512","205814","87593","51605",948699,2017-01-06
"501936","62060","205923","79559","47630",897108,2017-01-07
"534196","65304","204776","86893","51196",942365,2017-01-08
"534788","65518","205862","86893","51447",944508,2017-01-09
"534788","65518","205805","86893","51447",944451,2017-01-10
"534707","65518","205800","86893","51447",944365,2017-01-11
"534788","65518","205800","86893","51447",944446,2017-01-12
"534788","65518","206152","86893","51614",944965,2017-01-13
"493959","65071","202477","77090","51272",889869,2017-01-14
"545178","61169","184484","82698","49239",922768,2017-01-15
"534788","65291","205806","85999","51447",943331,2017-01-16
"525522","65640","205805","86913","51447",935327,2017-01-17
"531737","65569","205746","83777","51526",938355,2017-01-18
"534788","65568","207130","86893","51447",945826,2017-01-19
"534788","65518","205805","86893","51447",944451,2017-01-20
"534788","65518","205805","86893","51447",944451,2017-01-21
"524051","43167","160258","63099","49774",840349,2017-01-22
"536887","50329","172853","69095","48610",877774,2017-01-23
"514561","59944","200047","80742","52982",908276,2017-01-24
"459919","81305","211938","83460","52164",888786,2017-01-25
"518840","66988","207455","80515","53594",927392,2017-01-26
"523668","71343","209387","81960","51411",937769,2017-01-27
"522080","70360","202819","78830","50776",924865,2017-01-28
"531585","72340","211253","83650","52017",950845,2017-01-29
"531585","72188","212963","85727","50304",952767,2017-01-30
"442807","71839","189359","78734","52048",834787,2017-01-31
"522229","61305","210325","85426","50354",929639,2017-02-01
"455452","61410","169420","66296","50025",802603,2017-02-02
"497308","64212","189801","80342","40599",872262,2017-02-03
"528072","70582","211531","84917","52956",948058,2017-02-04
"474246","76854","214376","80143","54171",899790,2017-02-05
"535401","54535","179185","78026","51240",898387,2017-02-06
"499722","50201","169538","71267","40478",831206,2017-02-07
"513001","57336","171478","69901","47449",859165,2017-02-08
"507753","68403","208918","80160","47359",912593,2017-02-09
"500912","69856","211641","79954","53474",915837,2017-02-10
"502780","70071","206114","82597","48332",909894,2017-02-11
"528316","69856","211267","84935","52935",947309,2017-02-12
"560019","62940","179423","74074","48022",924478,2017-02-13
"528316","69856","210798","84935","52965",946870,2017-02-14
"528316","69773","210535","84970","52920",946514,2017-02-15
"545830","68885","192592","85855","51641",944803,2017-02-16
"546593","63500","184452","74749","53112",922406,2017-02-17
"558219","55736","181024","74704","49148",918831,2017-02-18
"460938","64643","195149","72606","55269",848605,2017-02-19
"528316","69928","205888","82868","52934",939934,2017-02-20
"474090","68491","210187","81597","51667",886032,2017-02-21
"528316","69886","208854","83882","52921",943859,2017-02-22
"527995","68621","201929","63927","52921",915393,2017-02-23
"527408","68079","202261","73770","52921",924439,2017-02-24
"528395","70004","208913","83841","53037",944190,2017-02-25
"528395","70004","208843","83841","52927",944010,2017-02-26
"520898","70058","208184","79256","53758",932154,2017-02-27
"528377","70061","209064","83863","52948",944313,2017-02-28
"484641","60335","207579","83875","52958",889388,2017-03-01
"525554","65180","177272","77258","52925",898189,2017-03-02
"528454","70236","209748","83968","52949",945355,2017-03-03
"528454","70236","209726","84027","52949",945392,2017-03-04
"528454","70236","210566","83970","52949",946175,2017-03-05
"528454","70236","209506","83970","52949",945115,2017-03-06
"528454","70236","209814","83970","52949",945423,2017-03-07
"528454","70236","209814","83970","52949",945423,2017-03-08
"452896","71379","198814","82776","49700",855565,2017-03-09
"528446","70236","209756","84005","52949",945392,2017-03-10
"528454","70236","209814","83970","52949",945423,2017-03-11
"528454","70236","209814","83970","52949",945423,2017-03-12
"528454","70236","209814","83970","52949",945423,2017-03-13
"528454","70236","209814","83970","52949",945423,2017-03-14
"528454","70236","209913","83970","52949",945522,2017-03-15
"528454","70236","209999","83970","52576",945235,2017-03-16
"528686","70555","210092","83970","50041",943344,2017-03-17
"525593","67868","209432","83970","46962",933825,2017-03-18
"528454","70236","209814","83970","52949",945423,2017-03-19
"508649","70236","209884","81392","51891",922052,2017-03-20
"528454","70236","209839","83945","52949",945423,2017-03-21
"528454","70236","200748","83722","52949",936109,2017-03-22
"528454","70236","209542","83975","52949",945156,2017-03-23
"528454","70236","209037","83975","52949",944651,2017-03-24
"528454","70236","209569","83975","52949",945183,2017-03-25
"528454","70236","209537","83975","52949",945151,2017-03-26
"528454","70236","209537","83975","52949",945151,2017-03-27
"528454","70236","209537","83975","52949",945151,2017-03-28
"524810","70795","209537","83975","52949",942066,2017-03-29
"528740","70312","209537","83975","52949",945513,2017-03-30
"528740","70312","209537","83975","52949",945513,2017-03-31
"528740","70312","209537","83975","52949",945513,2017-04-01
"528740","70312","209537","83975","52949",945513,2017-04-02
"514498","64893","196794","85109","50756",912050,2017-04-03
"494434","66647","214329","79494","64158",919062,2017-04-04
"514733","67063","193432","85488","48354",909070,2017-04-05
"529377","71680","212492","84334","50556",948439,2017-04-06
"480694","53565","183750","71573","43158",832740,2017-04-07
"529377","71680","212439","84334","50556",948386,2017-04-08
"529377","71680","212439","84334","50556",948386,2017-04-09
"529377","71680","212439","84334","50556",948386,2017-04-10
"493981","74495","209152","83194","51077",911899,2017-04-11
"529377","71680","212530","84334","50556",948477,2017-04-12
"529377","71680","212439","84334","50556",948386,2017-04-13
"529377","71680","212439","84334","50556",948386,2017-04-14
"529377","71680","212439","84334","50887",948717,2017-04-15
"529377","71680","212439","84334","50556",948386,2017-04-16
"529377","71680","212439","84334","50556",948386,2017-04-17
"529377","71680","212435","84334","50556",948382,2017-04-18
"529377","71680","212439","84334","50556",948386,2017-04-19
"529377","71680","212439","84334","50556",948386,2017-04-20
"529377","71680","212439","84334","50556",948386,2017-04-21
"523045","68632","211466","79564","49739",932446,2017-04-22
"514530","55546","170937","68777","51300",861090,2017-04-23
"529712","70164","208891","81805","50723",941295,2017-04-24
"449209","65190","194928","77206","49345",835878,2017-04-25
"529855","70606","209540","82062","50650",942713,2017-04-26
"512422","52096","174477","72094","54026",865115,2017-04-27
"527817","68813","208695","81446","50873",937644,2017-04-28
"527817","68813","209205","81446","50873",938154,2017-04-29
"527817","68813","208729","81446","50873",937678,2017-04-30
"527817","68813","208729","81446","50873",937678,2017-05-01
"527817","67796","165354","81446","53937",896350,2017-05-02
"521603","56267","203274","74434","48778",904356,2017-05-03
"527689","67887","208429","80864","50509",935378,2017-05-04
"527689","67904","208429","80864","50509",935395,2017-05-05
"527689","67904","208429","80864","50509",935395,2017-05-06
"478959","65504","197013","80867","45432",867775,2017-05-07
"527689","67904","208429","80864","50509",935395,2017-05-08
"527689","67904","208429","80864","50509",935395,2017-05-09
"527689","67904","208429","80864","50509",935395,2017-05-10
"527689","67904","208429","80864","50509",935395,2017-05-11
"527689","67904","208429","80864","50406",935292,2017-05-12
"527689","67904","208429","80864","50509",935395,2017-05-13
"527689","67904","208429","80864","50509",935395,2017-05-14
"527689","67904","208429","80864","50509",935395,2017-05-15
"527689","67904","208429","80864","50509",935395,2017-05-16
"526941","66851","224307","80035","51621",949755,2017-05-17
"527689","67904","210826","80864","52445",939728,2017-05-18
"508618","55930","169436","68113","42327",844424,2017-05-19
