"";"luz20";"cambio20";"luz21";"cambio21";"densidad poblacional";"NBI";"Region"
"SANTA.FE";"264124";"-5,103672273";"42173";"-1,971130378";"144,08";"3,8";"Bogotá (localidades)"
"BARRIOS.UNIDOS";"273185";"-3,17224024";"44953";"0,460366058";"227,06";"1,8";"Bogotá (localidades)"
"FONTIBON";"617483";"-12,11332356";"96107";"-2,709953029";"138,9";"3,3";"Bogotá (localidades)"
"ENGATIVA";" 6.908050e+05";"-1.054646e+01";" 1.108590e+05";"-2.375746e-01";" 2.568400e-01";" 4.500000e+00";"Bogotá (localidades)"
"CANDELARIA";"57346";"-16,12771123";"11459";"-0,847970927";"107,99";"0,3";"Bogotá (localidades)"
"CHAPINERO";"416961";"-3,791033962";"63963";"-1,189501491";"115,41";"1";"Bogotá (localidades)"
"CIUDAD.BOLIVAR";"550427";"-1,899533939";"78990";"-2,578902579";"231";"14,5";"Bogotá (localidades)"
"SUBA";"1218807";"-7,712210343";"187930";"0,083611595";"226,79";"9,9";"Bogotá (localidades)"
"RAFAEL.URIBE.URIBE";"270272";"-2,845208439";"40964";"-0,536603132";"251,57";"7,9";"Bogotá (localidades)"
"KENNEDY";" 8.990790e+05";"-4.164073e+00";" 1.416660e+05";"-2.773476e-01";" 3.412100e-01";" 1.420000e+01";"Bogotá (localidades)"
"USME";"418084";"-1,996479146";"50654";"-20,35409362";"162,95";"8,7";"Bogotá (localidades)"
"LOS.MARTIRES";"141142";"-12,0490036";"28159";"0,117329162";"143,15";"1,3";"Bogotá (localidades)"
"ANTONIO.NARIÃ.O";"84334";"-12,06689814";"14967";"0,523876687";"223,79";"0,9";"Bogotá (localidades)"
"TEUSAQUILLO";"365636";"-2,813505891";"54991";"0,151161944";"98,73";"0,2";"Bogotá (localidades)"
"SUMAPAZ";"31298.000000";"   24.316810";" 3023.000000";"  -38.040582";"    0.000836";NA;"Bogotá (localidades)"
"SAN.CRISTOBAL";"381108";"-1,446337092";"57739";"1,090762658";"241,04";"7,5";"Bogotá (localidades)"
"USAQUEN";"853881";"-6,357809081";"125157";"-1,392171693";"141,38";"4,3";"Bogotá (localidades)"
"TUNJUELITO";"217728";"-7,514293724";"34425";"-1,64847723";"188,06";"2,3";"Bogotá (localidades)"
"BOSA";"455698";"-2,308421193";"67266";"-0,004459707";"389,95";"11,7";"Bogotá (localidades)"
"PUENTE.ARANDA";"379094";"-9,45041191";"66066";"0,33411293";"126,25";"1,9";"Medellín (municipios)"
"Barbosa";"170475.000000";"    -3.612380";" 26402.000000";"     4.674305";"     2.480000";"     6.920000";"Medellín (municipios)"
"Bello";"446199";"-5,790259341";"62174";"0,038616251";"33,11";"5,5";"Medellín (municipios)"
"Caldas";" 9.084100e+04";" 2.642677e-02";" 1.275900e+04";"-1.406383e+00";" 7.560000e+00";" 5.450000e+00";"Medellín (municipios)"
"Copacabana";" 1.867260e+05";"-5.164682e+00";" 2.663000e+04";"-1.612117e-01";" 1.045000e+01";" 3.790000e+00";"Medellín (municipios)"
"Envigado";" 4.155660e+05";"-5.723736e+00";" 6.058700e+04";"-7.751427e-02";" 4.712000e+01";" 2.060000e+00";"Medellín (municipios)"
"Girardota";"170282.000000";"    -6.698373";" 25993.000000";"     0.822311";"     6.710000";"     4.980000";"Medellín (municipios)"
"La.Estrella";"98879.0000000";"   -2.0767311";"14127.0000000";"   -0.7586934";"   17.1400000";"    1.5900000";"Medellín (municipios)"
"Sabaneta";" 1.207630e+05";"-1.681213e+00";" 1.688100e+04";"-3.953269e-01";" 3.339000e+01";" 3.510000e+00";"Medellín (municipios)"
"ItagÃ.Ã.";" 2.369840e+05";"-3.070461e+00";" 3.331700e+04";"-2.365553e-01";" 1.383700e+02";" 3.890000e+00";"Medellín (municipios)"
"MedellÃ.n";" 2.583838e+06";"-7.226017e+00";" 3.819040e+05";"-6.044984e-02";" 7.874000e+01";" 5.190000e+00";"Cali (municipios)"
"Cali";" 3.701275e+06";" 6.630569e+00";" 5.063770e+05";"-1.315271e+00";" 3.758700e+01";" 4.110000e+00";"Cali (municipios)"
"Candelaria";"501360.000000";"    20.643064";" 61646.000000";"    -6.942411";"     2.467000";"     6.440000";"Cali (municipios)"
"Palmira";" 1.241228e+06";" 5.970209e+00";" 1.592400e+05";"-8.263434e+00";" 2.533000e+00";" 4.570000e+00";"Cali (municipios)"
"Yumbo";"661406.000000";"    16.234351";" 81805.000000";"    -6.125564";"     5.010000";"     7.680000";"Cali (municipios)"
"JamundÃ.";"380788.000000";"     9.488224";" 55909.000000";"    -1.634470";"     1.481000";"     6.560000";"Cali (municipios)"
